DIA;MES;AÑO;MUESTREO;HLB;CULTIVAR ;GUIA LOTE;CODIGO;VARIEDAD;PORTAINJERTO;REPETICION;ARBOL;PUNTO;BROTES;BDcitri;HUEVOS ;NINFAS;ADULTO;BENÉFICOS ;FENOLOGIA;OBSERVACIONES
11;12;19;M73;HLB5;Naranja;L1-1;1;PeraDelRio;CPB4475;III;-;NORTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-2;9;GarciaVal;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-3;6;V.Washington;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;Cicloneda
11;12;19;M73;HLB5;Naranja;L1-4;2;Lannelate;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-5;7;Sweety O;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-6;3;Hamlin;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;Trigona
11;12;19;M73;HLB5;Naranja;L1-7;8;FrostVal;CPB4475;III;3;NORTE;10;1;1;0;0;0;NA;Crisopa
11;12;19;M73;HLB5;Naranja;L1-8;5;Pinneapple;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-9;4;ParsonB;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-10;11;OwariSatsuma;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-11;13;Fairchild;CPB4475;II;3;NORTE;1;1;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-12;12;M.Arrayana;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-13;10;M.Oneco;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-14;27;OwariSatsuma;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-15;10;M.Oneco;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-16;32;L.Pajarito;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-17;30;Eureka;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-18;31;Perrine;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-19;32;L.Pajarito;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-20;16;L.Pajarito;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-20;14;Eureka;CPB4475;III;-;NORTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-19;31;Perrine;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-18;15;Perrine;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-17;14;Eureka;CPB4475;II;-;NORTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-16;16;L.Pajarito;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-15;11;OwariSatsuma;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
