DIA;MES;AÑO;MUESTREO;HLB;CULTIVO;PARCELA;CÓD.;REP.;COPA;PATRÓN;PUNTO;ÁRBOL;PRESENCIA BROTE;Brote D. citri;HUEVOS ;NINFA 1;NINFA 2;NINFA 3;NINFA 4;NINFA 5;ADULTO;OBSERVACIONES
11;12;2019;73;HLB 5;NARANJA;L1NA1;1;3;Pera del Río;CPB;Norte;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA1;1;3;Pera del Río;CPB;Este ;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA1;1;3;Pera del Río;CPB;Sur;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA1;1;3;Pera del Río;CPB;Oeste ;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA2;9;3;García Valencia;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA2;9;3;García Valencia;CPB;Este ;3;1;NA;14;2;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA2;9;3;García Valencia;CPB;Sur;3;1;NA;34;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA2;9;3;García Valencia;CPB;Oeste ;3;1;NA;0;0;0;0;1;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA3;6;3;Washington;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA3;6;3;Washington;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA3;6;3;Washington;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA3;6;3;Washington;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA4;2;3;Lannelate;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA4;2;3;Lannelate;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA4;2;3;Lannelate;CPB;Sur;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA4;2;3;Lannelate;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA5;7;3;Sweety Orange;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA5;7;3;Sweety Orange;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA5;7;3;Sweety Orange;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA5;7;3;Sweety Orange;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA6;3;3;Hamlin;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA6;3;3;Hamlin;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA6;3;3;Hamlin;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA6;3;3;Hamlin;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA7;8;3;Frost Valencia;CPB;Norte;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA7;8;3;Frost Valencia;CPB;Este ;3;1;NA;0;0;0;3;1;4;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA7;8;3;Frost Valencia;CPB;Sur;3;1;NA;4;0;0;1;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA7;8;3;Frost Valencia;CPB;Oeste ;3;1;NA;3;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L1NA8;5;3;Pinneapple;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA8;5;3;Pinneapple;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA8;5;3;Pinneapple;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA8;5;3;Pinneapple;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA9;4;3;Parson Brown;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L1NA9;4;3;Parson Brown;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
